Sl.No,Player's Name,Team,From,Run,Ball,Strike Rate,4's,6's,Highest Run Scored,Balls  Bowled,Runs Scored,Economy,Wickets,Ct_St,Run Outs,Matches Played,Age,Type
87,Karun Nair,KXI,IND,301,221,136.2,23,13,54,0,0,-,0,9,0.5,13,26,BAT
88,Kedar Jadhav,CSK,IND,24,22,109.1,1,2,24,0,0,-,0,0,0,1,33,BAT
89,Kieron Pollard,MI,WI,133,100,133,10,7,50,0,0,-,0,4,0,9,31,AR
90,KL Rahul,KXI,IND,659,416,158.4,66,32,95,0,0,-,0,11,2,14,26,BAT
91,Krunal Pandya,MI,IND,228,157,145.2,22,10,41,241,284,7.1,12,9,1.3,14,27,AR
92,Kshitiz Sharma,CSK,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,28,AR
93,Kuldeep Yadav,KKR,IND,12,24,50,1,0,7,308,418,8.1,17,6,1,16,23,Bowl
94,Kulwant Khejroliya,RCB,IND,0,0,-,0,0,0,65,107,9.9,2,0,0,3,26,Bowl
95,Liam Plunkett,DD,ENG,1,3,33.3,0,0,1,150,225,9,4,2,0,7,33,Bowl
96,Lungi Ngidi,CSK,SA,0,0,-,0,0,0,156,156,6,11,1,0,7,22,Bowl
97,M Vijay,CSK,IND,12,10,120,0,1,12,0,0,-,0,0,0,1,34,BAT
98,Mahipal Lomror,RR,IND,20,21,95.2,1,0,11,18,27,9,0,0,0,2,18,AR
99,Manan Vohra,RCB,IND,55,47,117,2,4,45,0,0,-,0,0,0,4,25,BAT
100,Mandeep Singh,RCB,IND,252,186,135.5,16,11,47,0,0,-,0,4,0,14,26,BAT
101,Manish Pandey,SRH,IND,284,246,115.4,22,5,62,0,0,-,0,9,0.3,15,29,BAT
102,Manjot Kalra,DD,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,19,BAT
103,Manoj Tiwary,KXI,IND,47,44,106.8,4,1,35,6,10,10,0,5,0,5,32,BAT
104,Manzoor Dar,KXI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,24,AR
105,Marcus Stoinis,KXI,AUS,99,76,130.3,6,4,29,66,120,10.9,3,2,0,7,29,AR
106,Mark Wood,CSK,ENG,1,3,33.3,0,0,1,24,49,12.3,0,1,0,1,28,Bowl
107,Mayank Agarwal,KXI,IND,120,94,127.7,9,5,30,0,0,-,0,2,0.5,11,27,BAT
108,Mayank Dagar,KXI,IND,0,0,-,0,0,0,0,0,-,0,0,0.5,0,21,AR
109,Mayank Markande,MI,IND,21,24,87.5,2,0,7,264,368,8.4,15,3,0,14,20,Bowl
110,MD Nidheesh,MI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,27,Bowl
111,Mehdi Hasan,SRH,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,28,AR
112,Midhun S,RR,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,24,AR
113,Mitchell Johnson,KKR,AUS,16,11,145.5,2,0,12,126,216,10.3,2,2,0,6,36,Bowl
114,Mitchell McClenaghan,MI,NZ,11,10,110,1,1,11,240,332,8.3,14,0,0,11,32,Bowl
115,Mitchell Santner,CSK,NZ,0,0,-,0,0,0,0,0,-,0,0,0,0,26,AR
116,Mitchell Starc,KKR,AUS,0,0,-,0,0,0,0,0,-,0,0,0,0,28,Bowl
117,Moeen Ali,RCB,ENG,77,46,167.4,4,6,65,79,97,7.4,3,2,1,5,31,AR
118,Mohammad Nabi,SRH,AFG,18,12,150,3,0,14,30,47,9.4,1,0,0,2,33,AR
119,Mohammed Shami,DD,IND,7,6,116.7,1,0,7,83,144,10.4,3,2,0,4,28,Bowl
120,Mohammed Siraj,RCB,IND,25,22,113.6,2,1,14,246,367,9,11,5,0,11,24,Bowl
121,Mohit Sharma,KXI,IND,10,13,76.9,1,0,4,178,322,10.9,7,2,0,9,30,Bowl
