Sl.No,Player's Name,Team,From,Run,Ball,Strike Rate,Four,Six,Highest Run Scored,BallsBowled,RunsConceded,Economy,Wickets,Ct_St,Run Outs,Matches Played,Age
94,Ishant Sharma,SH,IND,0,0,-,0,0,0,358,466,7.8,15,6,1,16,24
95,Ishwar Pandey,PWI,IND,0,2,0,0,0,0,24,50,12.5,1,0,0,2,23
96,Jacob Oram,MI,NZ,0,0,-,0,0,0,24,22,5.5,0,0,0,1,34
97,Jacques Kallis,KKR,SA,311,322,96.6,35,3,41,318,394,7.4,16,3,1,16,37
98,Jalaj Saxena,MI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,26
99,Jamaluddin Syed Mohammad,BRC,IND,10,13,76.9,1,0,9,60,91,9.1,3,0,0.5,4,30
100,James Faulkner,RR,IND,57,57,100,5,2,19,379,427,6.8,28,3,2.3,16,23
101,James Franklin,MI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,32
102,James Pattinson,KKR,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,23
103,Jason Holder,CSK,IND,0,0,-,0,0,0,120,168,8.4,2,3,0,6,21
104,Jasprit Bumrah,MI,IND,0,0,-,0,0,0,42,70,10,3,0,0,2,19
105,Javed Khan,MI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,19
106,Jaydev Unadkat,BRC,IND,2,2,100,0,0,1,294,370,7.6,13,1,0.5,13,21
107,Jean-Paul Duminy,SH,SA,0,0,-,0,0,0,0,0,-,0,0,0,0,28
108,Jeevan Mendis,DD,IND,23,27,85.2,0,0,12,30,36,7.2,1,2,0.5,3,30
109,Jesse Ryder,DD,NZ,0,0,-,0,0,0,0,0,-,0,0,0,0,28
110,Johan Botha,DD,SA,43,52,82.7,5,1,23,100,109,6.5,5,7,0,6,31
111,Kane Richardson,PWI,AUS,34,36,94.4,2,1,26,71,101,8.5,2,0,0,3,22
112,Karan Sharma,SH,IND,85,86,98.8,6,2,39,209,230,6.6,11,4,0,13,25
113,Karun Nair,BRC,IND,9,12,75,0,0,9,0,0,-,0,0,0,2,21
114,Kedar Jadhav,DD,IND,152,124,122.6,8,5,31,0,0,-,0,6,1,12,28
115,Kevin Pietersen,DD,ENG,0,0,-,0,0,0,0,0,-,0,0,0,0,32
116,Kevon Cooper,RR,WI,39,22,177.3,4,2,26,324,449,8.3,19,8,2.4,14,24
117,Kieron Pollard,MI,WI,360,249,144.6,20,26,66,162,258,9.6,9,11,0,17,25
118,KP Appanna,BRC,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,24
119,Krishnakant Upadhyay,PWI,IND,1,1,100,0,0,1,30,48,9.6,0,0,0,2,27
120,Kumar Boresa,RR,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,17
121,Kumar Sangakkara,SH,SL,120,136,88.2,13,0,28,0,0,-,1,3,0,9,35
122,Kusal Perera,RR,IND,14,13,107.7,3,0,14,0,0,-,0,0,0,2,22
123,Lakshmipathy Balaji,KKR,IND,9,10,90,1,0,9,300,387,7.7,12,4,1,13,31
124,Lasith Malinga,MI,SL,9,16,56.3,1,0,7,368,446,7.3,18,3,0,16,29
125,Laxmi Shukla,KKR,IND,3,12,25,0,0,2,18,22,7.3,1,2,0,4,32
126,Lokesh Rahul,BRC,IND,20,16,125,4,0,12,0,0,-,0,2,0,5,20
127,Luke Pomersbach,KXI,AUS,58,59,98.3,5,1,33,0,0,-,0,0,0,3,28
128,Luke Wright,PWI,ENK,106,60,176.7,16,3,44,59,100,10.2,2,2,0.3,6,28
