Sl.no,Player's Name,Team,From,Run,Ball,Strike Rate,Four,Six,Highest Run Scored,Balls Bowled,Runs Conceded,Economy,Wickets,Ct_St,Run Outs,Matches Played,Age,Type
172,Shardul Thakur,KXI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,26,Bowl
173,Shardul Thakur,RPS,IND,0,3,0,0,0,0,229,315,8.3,11,4,2,12,26,Bowl
174,Shashank Singh,DD,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,25,AR
175,Shaun Marsh,KXI,AUS,264,194,136.1,36,5,84,0,0,-,0,2,0,9,34,BAT
176,Sheldon Jackson,KKR,IND,38,31,122.6,5,0,16,0,0,-,0,2,0.5,4,31,BAT
177,Shelley Shaurya,GL,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,24,Bowl
178,Shikhar Dhawan,SH,IND,479,376,127.4,53,9,77,0,0,-,0,7,0,14,31,BAT
179,Shivil Kaushik,GL,IND,0,0,-,0,0,0,66,105,9.5,0,0,0,3,22,Bowl
180,Shreyas Gopal,MI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,24,Bowl
181,Shreyas Iyer,DD,IND,338,243,139.1,36,10,96,0,0,-,0,3,0.5,12,22,BAT
182,Shubham Agarwal,GL,IND,0,0,-,0,0,0,24,42,10.5,1,1,0,1,23,AR
183,Siddarth Kaul,SH,IND,0,2,0,0,0,0,214,300,8.4,16,3,0,10,27,Bowl
184,Siddhesh Lad,MI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,25,BAT
185,Sreenath Aravind,RCB,IND,32,41,78,2,0,9,183,275,9,5,1,0,10,33,Bowl
186,Steven Smith,RPS,WI,472,387,122,38,12,84,0,0,-,0,7,1.5,15,28,BAT
187,Stuart Binny,RCB,IND,78,76,102.6,6,3,18,36,50,8.3,4,1,0,8,33,AR
188,Sunil Narine,KKR,WI,224,130,172.3,34,10,54,354,412,7,10,4,0,16,29,Bowl
189,Suresh Raina,GL,IND,442,307,144,42,13,84,72,102,8.5,1,4,1,14,30,BAT
190,Suryakumar Yadav,KKR,IND,105,88,119.3,8,3,31,0,0,-,0,3,0,10,27,BAT
191,Swapnil Singh,KXI,IND,12,19,63.2,0,0,10,42,61,8.7,1,1,0,4,26,AR
192,T Natarajan,KXI,IND,0,0,-,0,0,0,76,115,9.1,2,0,0,6,26,Bowl
193,Tabraiz Shamsi,RCB,SA,0,0,-,0,0,0,0,0,-,0,0,0,0,27,Bowl
194,Tanmay Agarwal,SH,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,22,BAT
195,Tejas Baroka,GL,IND,0,0,-,0,0,0,21,33,9.4,0,0,0,1,21,Bowl
196,Tim Southee,MI,NZ,7,3,233.3,0,1,7,60,96,9.6,3,1,0,3,28,Bowl
197,Travis Head,RCB,AUS,151,108,139.8,9,6,75,48,81,10.1,2,3,0,7,23,BAT
198,Trent Boult,KKR,NZ,5,8,62.5,0,0,5,143,216,9.1,5,0,0,6,28,Bowl
199,Tymal Mills,RCB,ENG,8,11,72.7,0,1,6,107,153,8.6,5,1,0,5,25,Bowl
200,Umesh Yadav,KKR,IND,10,13,76.9,0,0,4,291,410,8.5,17,4,0,14,29,Bowl
201,Usman Khawaja,RPS,ENG,0,0,-,0,0,0,0,0,-,0,0,0,0,30,BAT
202,Varun Aaron,KXI,IND,4,10,40,0,0,4,120,163,8.2,7,0,0,6,27,Bowl
203,Vijay Shankar,SH,IND,101,75,134.7,12,1,63,0,0,-,0,3,0.5,4,26,AR
204,Vinay Kumar,MI,IND,0,0,-,0,0,0,18,31,10.3,2,0,0,1,33,Bowl
205,Virat Kohli,RCB,IND,308,252,122.2,23,11,64,0,0,-,0,5,0.5,10,28,BAT
206,Vishnu Vinod,RCB,IND,19,26,73.1,1,1,9,0,0,-,0,2,0,3,23,NA
207,Washington Sundar,RPS,#N/A,9,12,75,0,0,5,180,185,6.2,8,5,0,11,#N/A,NA
208,Wriddhiman Saha,KXI,IND,234,187,125.1,20,8,93,0,0,-,0,12,0.5,14,32,WK
209,YRCB,RCB,#N/A,0,0,-,0,0,0,0,0,-,0,0,0,0,#N/A,NA
210,Yusuf Pathan,KKR,IND,143,115,124.3,9,6,59,24,41,10.3,1,2,0,15,34,BAT
211,Yuvraj Singh,SH,IND,252,177,142.4,30,8,70,12,22,11,1,3,0.5,12,35,AR
212,Yuzvendra Chahal,RCB,IND,13,26,50,0,0,4,261,333,7.7,14,3,0,13,27,Bowl
213,Zaheer Khan,DD,IND,4,13,30.8,0,0,2,241,313,7.8,10,4,1,11,39,Bowl
214,ZRCB,RCB,#N/A,0,0,-,0,0,0,0,0,-,0,0,0,0,#N/A,NA
